amino_acid,mod_name,type,mz
Arginine,Deamidated,IM,130.0975
Arginine,Deamidated,NL,43.0058
Cysteine,Bromobimane,IM,266.0958
Cysteine,Carbamidomethyl,IM,133.0430
Cysteine,Carboxymethyl,IM,134.0270
Cysteine,Farnesyl,side-chain,205.1951
Cysteine,Farnesyl,NL,204.1873
Cysteine,Glutathione,NL,75.0320
Cysteine,Glutathione,NL,129.0426
Cysteine,glycidamide,NL,121.0192
Cysteine,Methyl,IM,90.0372
Cysteine,Palmitoyl,NL,238.2297
Cysteine,Palmitoyl,NL,272.2174
Cysteine,Propionamide,NL,71.0366
Cysteine,Sulfo,NL,79.9568
Histidine,Carbamidomethyl,IM,167.0927
Histidine,HNE,IM,266.1863
Histidine,Methyl,IM,124.0869
Histidine,Oxidation,IM,126.0662
Histidine,Phospho,NL,79.9663
Lysine,Acetyl,IM-NH3,126.0913
Lysine,Acetyl,IM,143.1179
Lysine,Biotin,side-chain,227.0849
Lysine,Biotin,IM-NH3,310.1584
Lysine,Butyryl,IM,154.1226
Lysine,Carbamidomethyl,IM,141.1022
Lysine,Carbamyl,NL,43.0058
Lysine,Crotonyl,IM,152.1070
Lysine,Diethyl,IM-NH(CH3)2,112.1121
Lysine,Diethyl,IM-NH3,140.1070
Lysine,Diethyl,IM,157.1699
Lysine,Dimethyl,IM,129.1386
Lysine,Dimethyl,y1,175.1441
Lysine,Dimethyl,NL,45.0578
Lysine,Formyl,IM,112.0757
Lysine,Glutarylation,IM,182.1176
Lysine,Hex,IM,179.1
Lysine,Hex,IM,191.1
Lysine,Hex,IM,192.1
Lysine,hydroxyisobutyryl,IM,170.1176
Lysine,Malonyl,IM,126.0913
Lysine,Malonyl,IM,170.0812
Lysine,Malonyl,NL,43.9898
Lysine,Methyl,IM-NH3,98.0964
Lysine,Methyl,IM,115.1230
Lysine,Methyl,y1,161.1285
Lysine,Propionyl,IM,140.1070
Lysine,Succinyl,IM,184.0968
Lysine,Thiazolidine,IM,113.1073
Lysine,Trimethyl,IM,143.1543
Lysine,Trimethyl,y1,189.1598
Lysine,Trimethyl,NL,59.0735
Methionine,Carbamidomethyl,NL,105.0248
Methionine,Dioxidation,IM,136.0427
Methionine,Oxidation,IM,120.0478
Methionine,Oxidation,NL,63.9977
Proline,Oxidation,IM,171.0674
Proline,Oxidation,IM,86.0600
Serine,Phospho,IM,140.0107
Threonine,Phospho,IM,154.0264
Tryptophan,Bromo,IM,237.0022
Tryptophan,Methyl,IM,173.1073
Tryptophan,Methyl,IM-29,144.0808
Tryptophan,Oxidation,IM,175.0857
Tryptophan,Thiazolidine,IM,171.0917
Tryptophan,Trp->Kynurenin,IM,163.0857
Tyrosine,Bromo,IM,213.9862
Tyrosine,Chlorination,IM,170.0367
Tyrosine,Dibromo,IM,291.8967
Tyrosine,dichlorination,IM,203.9977
Tyrosine,Diiodo,IM,260.9645
Tyrosine,Diiodo,IM-I,387.8690
Tyrosine,Iodo,IM,261.9723
Tyrosine,Nitro,IM,181.0608
Tyrosine,Phospho,NL,79.9663
Tyrosine,Phospho,IM,216.0420
Tyrosine,Phospho,PO3,78.9591
Tyrosine,Sulfo,IM,79.9568
Tyrosine,Sulfo,SO3,79.9574
